Title,published_date,Views,Comments,Likes
Building LLM Agents with Tool Use,2024-04-17T17:58:16Z,71865,16,1172
What makes LLM tokenizers different from each other? GPT4 vs. FlanT5 Vs. Starcoder Vs. BERT and more,2023-09-21T17:07:51Z,14651,16,461
ChatGPT has Never Seen a SINGLE Word (Despite Reading Most of The Internet). Meet LLM Tokenizers.,2023-07-26T12:52:22Z,9727,26,440
prompt chains are important for building large language model applications,2023-06-14T07:32:01Z,2105,1,83
What is Llama Index? how does it help in building LLM applications? #languagemodels #chatgpt,2023-06-08T08:01:32Z,8651,6,305
How to manage LLM prompts with tools like LangChain #languagemodels #chatgpt,2023-06-05T13:32:54Z,6377,2,186
Are language models with more parameters better? #shorts #chatgpt,2023-05-31T15:01:53Z,2283,4,134
What is LangChain? Where does it fit with LLMs like ChatGPT and Cohere? #shorts,2023-05-25T14:20:44Z,3031,2,114
AI is Eating The World - This is Where YOU Can Use it to Compete (AI Product Moats),2023-05-08T13:20:41Z,9748,8,275
"What is Generative AI? 4 Important Things to Know (about ChatGPT, MidJourney, Cohere & future AIs)",2023-04-16T13:40:20Z,12527,9,367
"AI Art Explained: How AI Generates Images (Stable Diffusion, Midjourney, and DALLE)",2023-01-16T13:29:08Z,32733,44,823
Nemesis 2 Intro Remade with AI Generated Images,2023-01-01T15:59:30Z,12302,9,93
The Illustrated Word2vec - A Gentle Intro to Word Embeddings in Machine Learning,2022-09-14T09:12:15Z,41088,18,876
A Generalist Agent (Gato) - DeepMind's single model learns 600 tasks,2022-09-05T11:10:25Z,5377,10,204
AI Image Generation is MIND BLOWING! #shorts,2022-09-02T12:25:10Z,6472,2,205
The Illustrated Retrieval Transformer,2022-08-23T07:32:22Z,13610,16,410
pandas for data science in python #shorts,2022-08-21T12:09:01Z,1109,1,50
Experience Grounds Language: Improving language models beyond the world of text,2022-08-15T06:44:45Z,3396,14,143
Writing Code in Jupyter Notebooks #shorts,2022-08-06T15:07:37Z,6191,2,166
How digital assistants like Siri work #shorts,2022-07-30T10:11:15Z,1337,2,82
AI is NOT smart robots #shorts,2022-07-25T07:53:53Z,1473,0,67
Understanding Animal Languages - Seeing Voices 2,2021-11-15T06:00:01Z,4006,6,176
Favorite Stats Books: Seven Pillars of Statistical Wisdom,2021-10-28T11:43:10Z,4946,13,214
Seeing Voices: 1 - Intro to Spectrograms,2021-10-14T11:08:22Z,9380,10,324
Favorite Python Books: Effective Python,2021-09-07T07:43:30Z,7841,12,286
Favorite AI/ML Books: Intro to ML with Python (Book Review),2021-07-12T10:52:02Z,10239,26,363
Behavioral Testing of ML Models (Unit tests for machine learning),2021-06-28T07:30:34Z,9564,20,302
Language Processing with BERT: The 3 Minute Intro (Deep learning for NLP),2021-06-15T06:04:31Z,78755,31,1414
Inspecting Neural Networks with CCA - A Gentle Intro (Explainable AI for Deep Learning),2021-06-09T06:45:05Z,6375,8,196
Probing Classifiers: A Gentle Intro (Explainable AI for Deep Learning),2021-06-01T07:24:44Z,8501,11,273
"Up and Down the Ladder of Abstraction [interactive article by Bret Victor, 2011]",2021-05-25T07:18:33Z,2498,3,81
Neural Activations & Dataset Examples,2021-05-18T12:51:07Z,3127,8,99
The Unreasonable Effectiveness of RNNs (Article and Visualization Commentary) [2015 article],2021-05-10T10:04:17Z,3437,5,117
Explainable AI Cheat Sheet - Five Key Categories,2021-04-29T13:44:14Z,40909,38,1268
My Visualization Tools (my Apple Keynote setup for visualizations and animations),2020-12-07T07:13:08Z,8675,19,365
The Narrated Transformer Language Model,2020-10-26T07:53:08Z,281919,225,5014
How GPT3 Works - Easily Explained with Animations,2020-08-13T07:19:23Z,197389,197,4306
Making Money from AI by Predicting Sales - Jay's Intro to AI Part 2,2020-08-04T05:50:11Z,5816,22,242
Jay's Visual Intro to AI,2020-05-11T09:27:06Z,33490,56,1046
