author,updated_at,like_count,text,public
@Zydres_Impaler,2024-05-15T18:29:37Z,0,"Invalid field name '<UnboundField(PasswordField, ('Password',), {'validators': [<wtforms.validators.DataRequired object at 0x0000020072D0CEC0>]})>'.  if you face the above error make the following change :  from -> EqualTo(password) to-> EqualTo('password')",True
@Sparrow-13,2024-05-11T07:23:36Z,0,"Around 25:57, you talked about adding placeholders for the F string if I am below python 3.6. I am on python 3.8 but it shows and error when add the F string. Can anybody guide me step by step how to add a place holder or what a place holder is?",True
@amineboubekri5484,2024-04-09T15:02:07Z,0,I have a problem on the registration form it kept showing the normal html error for the required field i want to show them as <span>,True
@avral4148,2024-03-12T10:14:43Z,0,"41:43 -> I ran into this error ""jinja2.exceptions.UndefinedError: 'forms.LoginForm object' has no attribute 'remember'"",  you might change  this line ""remember = "" in forms.py to ""remember_me = BooleanField('Remember Me', default=True)"", as well as in ""login.html""",True
@not_amanullah,2024-02-23T11:57:31Z,0,Underrated++,True
@ektabansal5332,2024-01-10T17:23:16Z,0,"Thanks Sir, it was a very nice video",True
@Nj-hw2cv,2024-01-10T07:01:32Z,2,Instead of wtf can we use html form and javascript for validation?,True
@nitkarshchourasia2406,2024-01-02T14:29:09Z,0,"🎯 Key Takeaways for quick navigation:  00:00 🌐 *This video focuses on creating forms and validating user input using the Flask framework.* 01:09 📦 *The tutorial introduces WTForms, a popular Flask extension for handling forms, simplifying common tasks like validation.* 02:59 🔑 *WTForms allows the creation of form classes in Python, which are then automatically converted into HTML forms in templates.* 05:01 🧠 *Validators like `DataRequired` and `Length` are used to ensure input integrity, providing an easy way to enforce constraints.* 10:33 🔐 *Setting a secret key in Flask protects against certain attacks; a good practice is generating a secure key using the `secrets` module.* 12:35 📝 *The tutorial demonstrates how to create registration and login routes, utilizing form instances and rendering templates accordingly.* 16:03 🛡️ *Including a hidden CSRF token in the form protects against cross-site request forgery attacks, enhancing security.* 20:23 🔄 *The tutorial covers creating links between registration and login pages, providing a seamless user experience.* 22:26 🌐 *The registration form in the Flask web app is successfully created, including fields for username, email, password, and confirm password.* 23:40 📝 *To accept both GET and POST requests for the registration route, use `methods=['GET', 'POST']` in the route decorator.* 25:00 🚦 *Utilize Flask's flash messages to provide one-time alerts; these can be used for user feedback on successful actions, such as creating an account.* 27:40 🚀 *After successful form submission, redirect the user to another page (e.g., home) using `return redirect(url_for('home'))`.* 32:30 🚨 *Implement validation feedback for the user by displaying specific error messages next to the corresponding form fields.* 38:25 🔄 *The login page can be quickly created by duplicating the registration template and adjusting fields accordingly, removing unnecessary ones.* 43:30 ⚠️ *Simulate a login process for testing purposes by checking submitted data; use flash messages to communicate success or failure with the user.* 44:36 🚧 *When simulating a login for testing, ensure the server is running, and watch for any file mistakes that might disrupt the process.* 45:04 🚫 *Attempting a login with incorrect credentials triggers a red danger alert, providing user feedback on unsuccessful login attempts.* 45:17 ✅ *Successful login redirects the user to the home route with a confirmation message.* 46:00 🌐 *Utilize the `url_for` function to dynamically generate URLs, ensuring links in templates automatically adjust to route changes.* 46:43 🧩 *Convert direct links in templates to use `url_for` for flexibility in adapting to changes in route structure.* 47:23 📁 *The next video will cover integrating a database to store user information and implement a functional registration and login system.*",True
@G_Global-K_Knowledge.,2023-12-25T05:25:24Z,0,🥰,True
@ram_qr,2023-12-23T19:26:26Z,0,👏👏👏👏👏,True
@realworldcodingapplications,2023-12-01T05:36:22Z,0,"for anyone who wants to get rid of the default wtforms error message, you can use the novalidate attribute on the form tag, also, if you want to add a class to the forms it's class_ instead of just class so for example {{form.username.label (class_=""whatever"")}}",True
@nirishsamant3317,2023-11-30T06:27:38Z,0,Great Content,True
@darrenlefcoe,2023-11-22T21:22:29Z,0,how does one debug a html file containing python code than references a python file ?,True
@davidokeke5339,2023-11-11T18:45:04Z,0,Isn't there a EmailField ?,True
@davidokeke5339,2023-11-11T18:41:59Z,0,"@corey    Pls how did u know the bootstrap classes 😢, do i have to learn bootstrap too",True
@Samagbeyi,2023-10-18T12:03:30Z,0,Beautiful tutorial Corey!,True
@SEJINHONG,2023-10-03T14:09:40Z,0,This is awesome! Thank u. - in South Korea.,True
@davidjosemoreno6435,2023-09-25T14:08:29Z,0,and is this suposed that Flask is easier than Django? Holy sheep!,True
@AbiBambam,2023-09-18T06:40:54Z,0,Any courses on the security part? - For example im worried about having any blind spots like the form.hidden.tag etc.,True
@the-ghost-in-the-machine1108,2023-09-11T22:08:39Z,0,Great content,True
@jayseb,2023-08-10T10:51:28Z,0,"Fantastic video series... one comment only -> a tad slower and some repeated content as we type would be great. But honestly, this may just be for me! Cheers!",True
@jonathanedwardgoode,2023-07-22T21:35:58Z,1,"Great tutorial as always Corey!!!  Anybody else have any challenges with the part that is demonstrated around minute 38:00 ? I was able to get it to display an error for email and confirm password for one submission, although all of the fields were invalid, then I tried typing in new, but still invalid info into each field, and now nothing gets the red highlighted error message.",True
@kamutabung511,2023-07-21T15:22:18Z,0,"learn flask is much...much easier with this channel, yet you talk to fast bro...😂",True
@arieljumba9754,2023-07-19T20:40:57Z,0,This is okay. But it would have been better to validate the emails and passwords in the main python file itself rather than use bootstrap for teaching purposes.,True
@kamikaze9271,2023-06-08T16:13:05Z,0,"Do we really need the else block? I tried commenting it out. If we get the error, below won't be executed. If we don't get the error, we are redirected to homepage. {% else %}                             {{ form.password(class=""form-control form-control-lg"")}}",True
@kamikaze9271,2023-06-08T05:26:21Z,0,Is there a discord/slack for questions? I don't understand where does get_flash_messages() come from when we have only imported flash() from flask,True
@rishavtiwari2017,2023-05-21T13:46:53Z,5,"He explained everything in this course so well, so nicely & clearly. Really worth giving time to this playlist and learning so many stuffs in a simple procedure",True
@javokhirabdurasulov3630,2023-04-04T06:53:39Z,10,"Hi, if someone is having problems with the email validation, you only need to install and import ""email_validator"".  Terminal: pip install email_validator",True
@girloffthecob,2023-03-28T16:55:39Z,25,"IF YOU HAVE A PROBLEM RUNNING IT AT 22:18 LIKE I DID, READ THIS! I kept getting the message ""Exception: Install 'email_validator' for email validation support."" To fix this, just run ""pip install email-validator"" in your terminal. That should fix it.",True
@gearbox_manufacturing_indu5755,2023-03-22T20:18:56Z,0,You are a god of flask🥺🥺✌️,True
@user-ti6it9gv9t,2023-03-16T12:53:04Z,1,"why am I getting this error ?!! Please someone help me !!   Traceback (most recent call last):   File ""c:\Users\user\Documents\MY PC\Flask_Blog\flaskblog.py"", line 2, in <module>     from forms import RegistrationFrom, LoginFrom   File ""c:\Users\user\Documents\MY PC\Flask_Blog\forms.py"", line 1, in <module>     from flask_wtf import FlaskForm   File ""C:\Users\user\AppData\Local\Programs\Python\Python310\lib\site-packages\flask_wtf\__init__.py"", line 3, in <module>     from .csrf import CSRFProtect, CsrfProtect   File ""C:\Users\user\AppData\Local\Programs\Python\Python310\lib\site-packages\flask_wtf\csrf.py"", line 10, in <module>     from werkzeug.security import safe_str_cmp ImportError: cannot import name 'safe_str_cmp' from 'werkzeug.security' (C:\Users\user\AppData\Local\Programs\Python\Python310\lib\site-packages\werkzeug\security.py)",True
@mariumbegum7325,2023-03-10T09:58:38Z,0,Great tutorial! 😀,True
@amnfox,2023-02-23T13:41:06Z,0,"""from flask_wtf import FlaskForm"" these modules are not found in PyCharm for me. Have the names been changed since this video was made?y8",True
@chevulahaarvish4322,2023-02-21T06:05:04Z,0,i watched this video 2 years back and now watching same video for other project  couldn't find much better video in past 2 years to skip this  hatss of corey,True
@sarahcruz7352,2023-02-13T20:17:37Z,0,The validators from wtforms no longer work. Bootstrap has changed. A lot has changed.,True
@lopatasezahrabala,2023-02-08T20:35:02Z,9,"For everyone that has problems with validation from registration, I've found solution ! Flask has changed over the years, currently you need your code like this :  from wtforms import StringField, PasswordField, SubmitField, BooleanField, EmailField, validators  class RegistrationForm(FlaskForm):     username = StringField(""Username"", [validators.DataRequired(), validators.Length(min=2, max=15)])     email = EmailField(""Email"", [validators.DataRequired(), validators.Email()])      password = PasswordField(""Password"", [validators.DataRequired(),                                           validators.EqualTo(""confirm_password"", message=""Passwords must match"")])     confirm_password = PasswordField('Repeat Password')     submit = SubmitField(""Sign Up"")  1) you dont need this line "" from wtforms.validators import DataRequired, Length, Email, EqualTo "" anymore 2) Flask is doing all the validation currently from validators""dot""something for example validators.DataRequired()... validators.Email()... 3) so after field you put the name, and after comma you do validation like validators.DataRequired() 4) for Email validation, that means that if you write just ""ASD"" into email field and try to send it, it should tell you immediatelly that it's incorrect format of email. For this you need to use EmailField not StringField 5) with this code, there is password validation, that they match, only with this code above there is currently no alerts for that so dont be afraid, that there is no validation.  After this you should be redirected to home page with account created. Hope this helps.",True
@muhammadhabib1616,2023-02-07T16:24:52Z,0,I am having this error and dont know exactly what to do  jinja2.exceptions.TemplateSyntaxError: Encountered unknown tag 'endwith',True
@ahmadmuradi6552,2023-02-03T20:45:50Z,0,"Hello Mr. Schafer, your videos are great! not only that but the way you explain it is great too. Thank you, very much for your hard work.",True
@pranjalshukla8096,2023-02-03T04:51:06Z,0,anyone facing the flash error at 45:05  that is  the flash message is not showing up in login page and 45:34  You have been logged in message also does not show up,True
@deepakpun7661,2023-01-17T02:16:52Z,0,"I am confused as why his form validation is working without adding the needs-validation class to the form and specifying novalidate attribute!! Mine doesn't work without that class and attribute. Also unlike in a nodejs express app, we don't have to specify where the form is going to be submitted? Thanks",True
@mpinmpin9935,2023-01-16T12:33:22Z,1,note to self: 14:54-22:08,True
@clover6480,2023-01-15T16:32:01Z,0,"omg I am learning A LOT here...not just about flask but also for example to use CTRL + D to edit all dir elements to div elements. Damn, and so many other small n' big  things... 🙏",True
@mpumisetshedii,2023-01-05T11:14:20Z,1,"The flashes don’t seem to pop up for the login form, any fixes?",True
@andricreyramirez8048,2023-01-04T07:55:25Z,0,I got error in form.validate_on_submit (TypeError: '>=' not supported between instances of 'int' and 'str'),True
@MMPRECISIONPAINTING,2022-12-20T18:25:14Z,1,"Any Help Would Be Awesome!!! Getting this error.   Traceback (most recent call last):   File ""C:\Users\budda\Desktop\Flask_Blog\flask_blog.py"", line 2, in <module>     from forms import RegistrationForm, LoginForm ModuleNotFoundError: No module named 'forms'",True
@snowey943,2022-12-19T09:20:57Z,2,"if anyone is getting ERROR on forms . just replace Email by email if anyone getting error on flash ,be sure to include GET,POST ,methods in register route",True
