author,updated_at,like_count,text,public
@MrBoubource,2024-01-28T22:34:12Z,0,"For once I would have liked subtitles, the weird diction made it hard to understand for me. And I didn't understand what gradio is, need to rewatch😅",True
@omnijack,2023-06-14T20:15:10Z,0,"Your pixels are showing, Sentdex 🌝",True
@wishIKnewHowToLove,2023-06-03T12:26:47Z,0,Nice voice,True
@jeffreydani8616,2023-02-12T09:47:46Z,1,Can you write the name of the ai as the title the next time you show us ai,True
@s.k6962,2023-01-01T11:17:39Z,0,Hey your voice looks generated.,True
@suhail_ahamed,2022-12-13T09:55:44Z,0,Amazing tool!,True
@jnevercast,2022-10-14T02:06:43Z,0,"Presumably the vocoder trained on the sound of your voice, but didn't really have a dataset of the words you said?   Under the condition that this presumption is correct, I wonder if the synthesis quality would be improved with fully classified audio. i.e. supervised fine-tuning rather than just learning pitch/phonetic parameters",True
@SPsounds100,2022-10-08T01:45:53Z,0,Soon ai will teach human how to be a human,True
@SamRyker,2022-10-01T21:14:40Z,0,this is amazing,True
@zagesh.,2022-09-28T10:03:36Z,0,"model = keras.Model(inputs=inputs, outputs=outputs) Output tensors of a Functional model must be the output of a TensorFlow `Layer` (thus holding past layer metadata). Found: <keras.layers.core.dense.Dense object at 0x7f772e256790>  This is the error im getting on this line I just copy paste your code",True
@romandobrov8460,2022-09-27T14:11:31Z,7,"This is how I lost my job, honey.",True
@uHasioorr,2022-09-27T09:35:33Z,14,"Before I realized who's voice it is It sounded just like another robotic voice. But now that I know, it somehow become harder to tell that it is TtS. 😲",True
@DevOpsJourney,2022-09-27T07:20:16Z,2,Very cool sentdex! I feel like I'm going to be replaced soon though 😱,True
@rockyrivermushrooms529,2022-09-27T00:47:19Z,0,why does it sound like a robot voiced this video,True
@blueboy9680,2022-09-26T19:05:25Z,0,Did you use an AI to make this video ? lol,True
@5dots297,2022-09-26T18:22:36Z,2,Wait what wow 😮,True
@bohdankhv,2022-09-26T15:11:20Z,9,the audio in this video was text-to-speech right?,True
@KylePapili,2022-09-26T15:05:58Z,49,Crazy how much improvement we've seen already in this speech synthesis model. Would be interesting to plot out quality over time and estimate how long it will be before the speech synthesis model can fool your average viewer!,True
