author,updated_at,like_count,text,public
@TirthRadadiya-hp9sq,2024-05-23T05:37:41Z,0,Same screen froze issue,True
@j.k.priyadharshini9753,2024-05-17T12:11:07Z,0,"# Call the QA chain with our query. result = retrievalQA.invoke({""query"": query}) print(result['result']) ValueError: Error raised by inference API: Cannot override task for LLM models  Iam getting this error",True
@siddhanthbhattacharyya4206,2024-05-13T14:01:07Z,0,video froze dude,True
@sagarmhaisne110,2024-05-07T12:29:12Z,0,Video got freezed at 11:48,True
@mohitmehndiratta5576,2024-05-06T17:12:13Z,0,Screen freezed after 12:15,True
@EkNidhi,2024-05-06T09:32:11Z,0,🥲🥲🥲🥲🥲,True
@SanjayBakshi-ih3ec,2024-05-01T18:28:50Z,0,Screen frozen after 11:50.,True
@faqs-answered,2024-04-27T08:46:10Z,1,Simply awesome explanation ! You are really great :),True
@philippearras8154,2024-04-23T17:36:21Z,2,Frozen screen sir. Impossible to follow :(,True
@andrespineiro7609,2024-04-23T10:46:22Z,0,"Thanks dude, but the screen is frozen in the middle of the video",True
@avigneswaranwaran,2024-04-23T04:52:27Z,0,Screen freezed from 11:51 to 27:45,True
@digitaltechconnect1318,2024-04-22T16:33:32Z,0,screen is frozen sir,True
@anshitseth586,2024-04-22T11:18:58Z,0,Please upload this video again,True
@user-wo2sh2lk7e,2024-04-22T05:36:26Z,0,screen is frozen after 11:50,True
@dharmadhikariatharva,2024-04-21T18:53:39Z,0,Please reupload this video.,True
@abdulazizdeveloper7915,2024-04-21T17:24:45Z,0,"why im having this error :  If Model is unavailable, either raise a TimeoutError...  if timeout is not None and time.time() - t0 > timeout: --> 250                         raise InferenceTimeoutError(   251                             f""Model not loaded on the server: {url}. Please retry with a higher timeout (current:""     252                             f"" {self.timeout})."",",True
@dhirajbembade,2024-04-21T14:56:04Z,1,Screen is frozen unable to see from 12 min runtime,True
@NikhilSharma-ht7en,2024-04-21T13:29:56Z,0,Screen is frozen,True
@kashishvarshney2225,2024-04-21T11:25:35Z,0,hello sir please upload video again. whole video is not playing good,True
@jayanthkothapalli9.2,2024-04-21T11:00:54Z,0,"Sir Video is Frozen after 11:49 sec, Pls check the video sir, and upload it again.",True
@SameerAli-nm8xn,2024-04-21T05:25:06Z,0,"Sir if the aim of the project was to use open source why you haven't used Google embeddings which is free and also perform good, so please if you can make the video with this topic make the video with Google Gemini embeddings with langchain",True
@rahulsanapathi2305,2024-04-21T03:42:39Z,1,Today i am starting with you sir i will take it as serious as by some time i also keep my transition when i get my dream job,True
@vashu736,2024-04-20T22:48:52Z,0,"Sir your precision and accuracy are very low in credit card Fraud detection video, Isolation Forest and LOC are not working for fraud detection data. Can you suggest some good methods for the same.",True
@carlosbelleza5104,2024-04-20T21:40:42Z,1,would it be possible to have an example with a local open source LLM? Like OpenLLM pointing to a remote address,True
@mushinart,2024-04-20T21:08:48Z,21,is it only me or the video FREEZES from where mr naik uses the embedding ???!!!,True
@babukrishnamurthy8224,2024-04-20T20:06:46Z,6,"After 11:50 the screen has frozen, only your voice is coming in the background whatever you are doing is not being shown in the screen. Please can you correct it?",True
@MAYANK-mn8ir,2024-04-20T19:13:38Z,0,"Hi, is anyone currently enrolled in Masters with major in ML in Canada/US?  How is the Job market there?",True
@AnjanaKumari-uq7rh,2024-04-20T18:42:40Z,0,Screen frozen reh gyi sir and pls connect this with database instead of pdf,True
@dhackmt,2024-04-20T17:56:27Z,2,"and i was so eager to learn something new that i kept your youtube video on and opened the github page as simple as that , anyways we have to see the code only , so screen froze did not really affect my learning but yea some guys give up but i want to say never give up .",True
@dhackmt,2024-04-20T17:14:14Z,4,"krish brother you are doing a really great job , alot of people like me are really learning because of you , i am really thankful and greatful towards your teaching , really good .",True
@vishalaiml1649,2024-04-20T17:04:06Z,0,"Hi Krishnaik, can you please create a Series on securing LLM responses, and Guardrails as it is burning topic now a days. Sincere Request.",True
@integuider6825,2024-04-20T16:33:50Z,0,"screen is stopped, sir please fix this issue",True
@MVPAJYT,2024-04-20T15:44:00Z,5,"Need one video on comparison and cost benefit analysis between models,",True
@RamaChandran-fc3hp,2024-04-20T15:31:37Z,2,Sir please fix that issue. Screen got struck.,True
@siddhantashtekar5806,2024-04-20T15:17:45Z,0,Screen is frozen,True
@ashraf_isb,2024-04-20T15:00:23Z,1,is it just me or screen froze?  anyways thanks for the video Krish,True
@zedia121,2024-04-20T14:50:13Z,0,"Hi krish, the video froze at 11:49.",True
@karthiksundaram544,2024-04-20T14:03:08Z,0,❤,True
@rishiraj2548,2024-04-20T14:00:16Z,0,🙂🙏,True
@Mr177891,2024-04-20T13:53:08Z,37,Screen is frozen Sir,True
@madhavipeddireddy5304,2024-04-20T13:52:33Z,3,"Sir Please upload videos on MLOPS, or do live session on MLOPS. These days many companies are asking this MLOPS.  Can I join your membership to access the MLOPS tutorials and projects",True
@vishalaiml1649,2024-04-20T13:42:36Z,1,Thank you @krishnaik . your teaching is awesome!!,True
@_punjabi_singh,2024-04-20T13:41:17Z,1,Hindi,True
@not_amanullah,2024-04-20T13:03:14Z,1,This is helpful ❤,True
@not_amanullah,2024-04-20T13:03:06Z,1,thanks ❤,True
@kumariakanksha2069,2024-04-20T08:00:16Z,0,Please make a video by using open source llm models for pdf documet question and information retrieval task,True
@user-yc2te4vz2y,2024-04-20T05:58:10Z,0,"Hello, sir. I am a big fan of your knowledge, and I have a request. Could you make a video on how to extract text from a PDF, perform chunking, embedding, and store it in a vector database in parallel? This would reduce latency for a large PDF.I hope you respond this message",True
